
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. top, 18625, 20200, 4712, 0, 0, 29, 116, 13, 47
.	. AXI4_Interconnect, 4124, 4678, 492, 0, 0, 0, 47, 1, 0
.	.	. COREAXI4INTERCONNECT_Z29, 4124, 4678, 492, 0, 0, 0, 47, 1, 0
.	.	.	. caxi4interconnect_Axi4CrossBar_Z1, 455, 2002, 81, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_AddressController_Z20, 85, 173, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_MasterControl_Z21, 6, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_TransactionController_3s_6s_1s_1s_1s_1s_1_10s_4294967295s_0, 6, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_MasterControl_Z22_0, 4, 49, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DependenceChecker_Z10_0, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_TransactionController_3s_6s_1s_1s_1s_1s_1_10s_4294967295s_1_1, 4, 48, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_MasterControl_Z22_1, 5, 15, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DependenceChecker_Z10_1_0, 0, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_3s_5s_2s_32s_32s_0s_0_536870912_805306367_Z12_1, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_3s_5s_3s_32s_32s_0s_0_805306368_1073741823_Z13_1, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_TransactionController_3s_6s_1s_1s_1s_1s_1_10s_4294967295s_1_0, 5, 11, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RoundRobinArb_3s_2s_1s_0_0, 11, 14, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_TargetMuxController_Z2_0, 59, 87, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_AddressController_Z3, 88, 175, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_MasterControl_Z15_0, 4, 13, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DependenceChecker_Z10, 0, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_3s_5s_2s_32s_32s_0s_0_536870912_805306367_Z12_0, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_3s_5s_3s_32s_32s_0s_0_805306368_1073741823_Z13_0, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_TransactionController_3s_6s_1s_1s_1s_1s_0_10s_4294967295s_1_1, 4, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_MasterControl_Z15_1, 4, 13, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DependenceChecker_Z10_1, 0, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_3s_5s_3s_32s_32s_0s_0_805306368_1073741823_28_Z13, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_TransactionController_3s_6s_1s_1s_1s_1s_0_10s_4294967295s_1_0, 4, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_MasterControl_Z9, 8, 20, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DependenceChecker_Z4, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_3s_5s_4s_32s_32s_0s_0_1073741824_1342177279_31_Z8, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_TransactionController_3s_6s_1s_1s_1s_1s_0_10s_4294967295s_0, 8, 15, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RoundRobinArb_3s_2s_1s_0, 11, 15, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_TargetMuxController_Z2, 61, 111, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_DERR_Slave_Z28, 38, 33, 9, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_RDataController_Z16, 93, 801, 48, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_ReadDataController_Z17, 31, 181, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RdFifoDualPort_1s_2_2s_3s_6s_2_0, 24, 20, 6, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DualPort_FF_SyncWr_SyncRd_1s_2s_3s_4s, 15, 4, 6, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_ReadDataMux_2s_6s_3s_4s_64s_0s_1s_63_6s_9s, 7, 160, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_ReadDataController_Z18, 31, 229, 22, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RdFifoDualPort_1s_2_2s_3s_6s_2, 24, 21, 6, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DualPort_FF_SyncWr_SyncRd_1s_2s_3s_4s_0, 15, 5, 6, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_ReadDataMux_2s_6s_3s_4s_64s_0s_1s_60_6s_9s, 7, 170, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_ReadDataController_Z19, 31, 391, 12, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RdFifoDualPort_1s_2_2s_3s_6s_2_1, 24, 30, 6, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DualPort_FF_SyncWr_SyncRd_1s_2s_3s_4s_1, 15, 4, 6, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_ReadDataMux_2s_6s_3s_4s_64s_0s_1s_60_6s_9s_0, 7, 248, 6, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_RespController_Z27, 25, 86, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RoundRobinArb_6s_3s_0s_0, 16, 35, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_SlaveDataMuxController_Z26, 9, 51, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_WDataController_Z23, 126, 734, 24, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_FifoDualPort_1s_2_2s_2s_2, 21, 39, 4, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DualPort_FF_SyncWr_SyncRd_1s_2s_2s_4s, 10, 4, 4, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_FifoDualPort_1s_2_2s_2s_2_0, 21, 23, 4, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DualPort_FF_SyncWr_SyncRd_1s_2s_2s_4s_0, 10, 4, 4, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_FifoDualPort_1s_2_2s_2s_2_1, 21, 24, 4, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DualPort_FF_SyncWr_SyncRd_1s_2s_2s_4s_1, 10, 4, 4, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_FifoDualPort_1s_2_2s_2s_2_2, 21, 23, 4, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DualPort_FF_SyncWr_SyncRd_1s_2s_2s_4s_2, 10, 4, 4, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_FifoDualPort_1s_2_2s_2s_2_3, 21, 20, 4, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DualPort_FF_SyncWr_SyncRd_1s_2s_2s_4s_3, 10, 4, 4, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_FifoDualPort_1s_2_2s_2s_2_4, 21, 20, 4, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DualPort_FF_SyncWr_SyncRd_1s_2s_2s_4s_4, 10, 4, 4, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_WriteDataMux_Z24, 0, 162, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_WriteDataMux_Z24_0, 0, 163, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_WriteDataMux_Z24_1, 0, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_WriteDataMux_Z24_2, 0, 72, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_WriteDataMux_Z25, 0, 12, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_WriteDataMux_Z25_0, 0, 163, 0, 0, 0, 0, 0, 0, 0
.	.	.	. caxi4interconnect_MasterConvertor_Z32, 482, 275, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_4s_32s_64s_0s_1s_2, 482, 275, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_67s_0_1_3_0, 90, 54, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_67s_0_1_3_6, 86, 50, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_72s_0_1_3_1, 144, 78, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_78s_0_1_3_1, 148, 83, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_7s_0_1_3_0, 14, 10, 0, 0, 0, 0, 0, 0, 0
.	.	.	. caxi4interconnect_MasterConvertor_Z34, 458, 244, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_4s_32s_64s_0s_1s_1, 458, 244, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_67s_0_1_3_4, 86, 46, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_67s_0_1_3_5, 84, 45, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_72s_0_1_3_0, 134, 70, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_78s_0_1_3_2, 148, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_7s_0_1_3_1, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	. caxi4interconnect_MasterConvertor_Z36, 405, 214, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_4s_32s_64s_0s_1s_0, 405, 214, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_67s_0_1_3_1, 68, 37, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_67s_0_1_3_2, 68, 37, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_72s_0_1_3_2, 132, 69, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_78s_0_1_3_0, 134, 70, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_7s_0_1_3_2, 3, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. caxi4interconnect_ResetSycnc, 2, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. caxi4interconnect_SlaveConvertor_Z42, 915, 906, 411, 0, 0, 0, 41, 0, 0
.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_6s_32s_64s_0s_1s_0, 510, 270, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_69s_0_1_3_0, 100, 53, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_69s_0_1_3_2, 96, 51, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_74s_0_1_3_5, 148, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_80s_0_1_3_0, 148, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_9s_0_1_3_0, 18, 12, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_ResetSycnc_0, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_SlvClockDomainCrossing_Z41, 220, 214, 0, 0, 0, 0, 25, 0, 0
.	.	.	.	.	. caxi4interconnect_CDC_FIFO_8s_69s_0s_3s_1, 44, 43, 0, 0, 0, 0, 5, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_3s, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_3s_5_24, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_3s_7, 6, 6, 0, 0, 0, 0, 0, 0, 0
