SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_3_IOD_DQ.I_IOD_3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
2,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_3_IOD_DQ.I_IOD_0,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
3,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_3_IOD_DQ.I_IOD_2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
4,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_3_IOD_DQ.I_IOD_7,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
5,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_3_IOD_DQ.I_IOD_4,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
6,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_3_IOD_DQ.I_IOD_6,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
7,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_3_IOD_DQ.I_IOD_1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
8,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_3_IOD_DQ.I_IOD_5,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
9,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_2_IOD_DQ.I_IOD_3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
10,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_2_IOD_DQ.I_IOD_0,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
11,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_2_IOD_DQ.I_IOD_2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
12,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_2_IOD_DQ.I_IOD_7,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
13,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_2_IOD_DQ.I_IOD_4,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
14,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_2_IOD_DQ.I_IOD_6,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
15,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_2_IOD_DQ.I_IOD_1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
16,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_2_IOD_DQ.I_IOD_5,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
17,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_3,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
18,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_0,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
19,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_2,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
20,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_7,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
21,PF_DDR4_SS_0.DDRPHY_BLK_0.LANE_1_IOD_DQ.I_IOD_4,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,PF_DDR4_SS_0/CCC_0/pll_inst_0/OUT1,NA,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
